x + 1 = 2,1
x + 1 = 6,5
x + 1 = 7,6
x + 2 = 4,2
x + 2 = 9,7
x + 2 = 14,12
x + 3 = 7,4
x + 3 = 8,5
x + 3 = 11,8
x + 3 = 13,10
x + 4 = 4,0
x + 4 = 6,2
x + 4 = 10,6
x + 4 = 16,12
x + 5 = 8,3
x + 5 = 9,4
x + 5 = 12,7
x + 5 = 18,13
x + 6 = 7,1
x + 6 = 10,4
x + 6 = 14,8
x + 6 = 15,9
x + 7 = 9,2
x + 7 = 13,6
x + 7 = 15,8
x + 7 = 17,10
x + 8 = 10,2
x + 8 = 11,3
x + 8 = 15,7
x + 8 = 19,11
x + 9 = 11,2
x + 9 = 13,4
x + 9 = 14,5
x + 9 = 18,9
x + 10 = 12,2
x + 10 = 16,6
x + 10 = 17,7
x + 10 = 20,10
2x + 1 = 5,2
2x + 1 = 9,4
2x + 1 = 13,6
2x + 1 = 19,9
2x + 2 = 6,2
2x + 2 = 10,4
2x + 2 = 12,6
2x + 2 = 18,9
2x + 3 = 3,0
2x + 3 = 9,3
2x + 3 = 15,6
2x + 3 = 17,7
2x + 4 = 6,1
2x + 4 = 14,5
2x + 4 = 16,6
2x + 4 = 18,7
2x + 5 = 11,3
2x + 5 = 13,4
2x + 5 = 21,8
2x + 6 = 12,3
2x + 6 = 14,4
2x + 6 = 18,6
2x + 7 = 13,3
2x + 7 = 17,5
2x + 7 = 19,6
2x + 8 = 14,3
2x + 8 = 18,5
2x + 8 = 20,6
2x + 9 = 9,1
2x + 9 = 11,2
3x + 1 = 4,1
3x + 1 = 13,4
3x + 2 = 8,2
3x + 2 = 11,3
3x + 3 = 9,2
3x + 3 = 15,4
3x + 4 = 10,2
3x + 4 = 25,7